Age;BMI;TFlight;Height;2Axel
11;15.22191956;312;11.9;1
11;15.22191956;312;11.9;1
11;15.22191956;331;13.4;1
11;15.22191956;343;14.4;1
11;15.22191956;422;21.8;1
11;15.22191956;434;23.1;1
11;15.22191956;424;22;1
11;15.22191956;422;21.8;1
11;15.22191956;396;19.2;1
11;15.22191956;417;21.3;1
11;15.22191956;0.42;21.6;1
11;15.22191956;403;19.9;1
11;15.22191956;401;19.7;1
11;15.22191956;392;18.8;1
11;15.22191956;396;19.2;1
11;15.22191956;398;19.4;1
11;15.22191956;0.39;18.6;1
11;15.22191956;0.37;16.8;1
11;15.22191956;369;16.7;1
11;15.22191956;367;16.5;1
11;15.22191956;369;16.7;1
11;15.22191956;385;18.2;1
11;15.22191956;373;17.1;1
11;15.22191956;0.4;19.6;1
11;15.22191956;394;19;1
11;15.22191956;376;17.3;1
11;15.22191956;373;17.1;1
11;15.22191956;375;17.2;1
11;15.22191956;317;12.3;1
11;15.22191956;322;12.7;1
11;15.22191956;367;16.5;1
11;15.22191956;347;14.8;1
11;15.22191956;436;23.3;1
11;15.22191956;432;22.9;1
11;15.22191956;431;22.8;1
11;15.22191956;432;22.9;1
11;15.22191956;432;22.9;1
11;15.22191956;433;23;1
11;15.22191956;424;22;1
11;15.22191956;416;21.2;1
11;15.22191956;421;21.7;1
11;15.22191956;419;21.5;1
11;15.22191956;414;21;1
11;15.22191956;0.41;20.6;1
11;15.22191956;401;19.7;1
11;15.22191956;404;20;1
11;15.22191956;411;20.7;1
11;15.22191956;404;20;1
11;15.22191956;369;16.7;1
11;15.22191956;385;18.2;1
11;15.22191956;383;18;1
11;15.22191956;384;18.1;1
11;15.22191956;372;17;1
11;15.22191956;382;17.9;1
11;15.22191956;389;18.5;1
11;15.22191956;378;17.5;1
10;17.35785326;395;19.1;0
10;17.35785326;355;15.4;0
10;17.35785326;406;20.2;0
10;17.35785326;399;19.5;0
10;17.35785326;423;21.9;0
