Age;BMI;TFlight;Height;Power;2Axel
11;15.22191956;0.312;11.9;8.51;1
11;15.22191956;0.312;11.9;8.62;1
11;15.22191956;0.331;13.4;10.19;1
11;15.22191956;0.343;14.4;10.78;1
11;15.22191956;0.422;21.8;28.44;1
11;15.22191956;0.434;23.1;33.78;1
11;15.22191956;0.424;22;30.87;1
11;15.22191956;0.422;21.8;30.63;1
11;15.22191956;0.396;19.2;26.28;1
11;15.22191956;0.417;21.3;30.32;1
11;15.22191956;0.42;21.6;31.74;1
11;15.22191956;0.403;19.9;30.57;1
11;15.22191956;0.401;19.7;28.41;1
11;15.22191956;0.392;18.8;26.37;1
11;15.22191956;0.396;19.2;27.47;1
11;15.22191956;0.398;19.4;27.79;1
11;15.22191956;0.39;18.6;26.38;1
11;15.22191956;0.37;16.8;24.87;1
11;15.22191956;0.369;16.7;24.84;1
11;15.22191956;0.367;16.5;24.32;1
11;15.22191956;0.369;16.7;25.24;1
11;15.22191956;0.385;18.2;26.99;1
11;15.22191956;0.373;17.1;23.9;1
11;15.22191956;0.4;19.6;28.2;1
11;15.22191956;0.394;19;28.71;1
11;15.22191956;0.376;17.3;24.7;1
11;15.22191956;0.373;17.1;24.45;1
11;15.22191956;0.375;17.2;25.43;1
11;15.22191956;0.317;12.3;8.72;1
11;15.22191956;0.322;12.7;14.46;1
11;15.22191956;0.367;16.5;11.35;1
11;15.22191956;0.347;14.8;10.45;1
11;15.22191956;0.436;23.3;33.92;1
11;15.22191956;0.432;22.9;35.31;1
11;15.22191956;0.431;22.8;33.87;1
11;15.22191956;0.432;22.9;33.75;1
11;15.22191956;0.432;22.9;33.88;1
11;15.22191956;0.433;23;33.89;1
11;15.22191956;0.424;22;32.13;1
11;15.22191956;0.416;21.2;31.01;1
11;15.22191956;0.421;21.7;30.51;1
11;15.22191956;0.419;21.5;33.79;1
11;15.22191956;0.414;21;32.11;1
11;15.22191956;0.41;20.6;30.58;1
11;15.22191956;0.401;19.7;27.71;1
11;15.22191956;0.404;20;31.04;1
11;15.22191956;0.411;20.7;32.32;1
11;15.22191956;0.404;20;30.92;1
11;15.22191956;0.369;16.7;24.03;1
11;15.22191956;0.385;18.2;27.25;1
11;15.22191956;0.383;18;28.07;1
11;15.22191956;0.384;18.1;27.32;1
11;15.22191956;0.372;17;25.92;1
11;15.22191956;0.382;17.9;27.08;1
11;15.22191956;0.389;18.5;29.68;1
11;15.22191956;0.378;17.5;26.89;1
10;17.35785326;0.395;19.1;10.26;0
10;17.35785326;0.355;15.4;9.13;0
10;17.35785326;0.406;20.2;11.53;0
10;17.35785326;0.399;19.5;10.92;0
10;17.35785326;0.423;21.9;24.23;0
10;17.35785326;0.402;19.8;24.49;0
10;17.35785326;0.396;19.2;25.04;0
10;17.35785326;0.396;19.2;23.64;0
10;17.35785326;0.418;21.4;28.23;0
10;17.35785326;0.414;21;27.12;0
10;17.35785326;0.407;20.3;25.65;0
10;17.35785326;0.408;20.4;25.82;0
10;17.35785326;0.392;18.8;24.63;0
10;17.35785326;0.393;18.9;26.03;0
10;17.35785326;0.376;17.3;22.42;0
10;17.35785326;0.39;18.6;24.81;0
10;17.35785326;0.387;18.4;24.56;0
10;17.35785326;0.381;17.8;24.95;0
10;17.35785326;0.372;17;21.59;0
10;17.35785326;0.373;17.1;23.26;0
10;17.35785326;0.401;19.7;26.67;0
10;17.35785326;0.386;18.3;30.35;0
10;17.35785326;0.361;16;21.42;0
10;17.35785326;0.362;16.1;22.11;0
10;17.35785326;0.335;13.8;20.49;0
10;17.35785326;0.359;15.8;21.71;0
10;17.35785326;0.343;14.4;22.11;0
10;17.35785326;0.329;13.3;19.37;0
10;17.35785326;0.356;15.5;9.28;0
10;17.35785326;0.364;16.2;9.47;0
10;17.35785326;0.377;17.4;12.77;0
10;17.35785326;0.408;20.4;13.59;0
10;17.35785326;0.425;22.1;22.35;0
10;17.35785326;0.437;23.4;30.64;0
10;17.35785326;0.428;22.5;30.97;0
10;17.35785326;0.422;21.8;30.06;0
10;17.35785326;0.416;21.2;29.44;0
10;17.35785326;0.411;20.7;27.85;0
10;17.35785326;0.398;19.4;26.72;0
10;17.35785326;0.406;20.2;28.19;0
10;17.35785326;0.394;19;26.99;0
10;17.35785326;0.384;18.1;26.11;0
10;17.35785326;0.377;17.4;23.6;0
10;17.35785326;0.374;17.1;25.08;0
10;17.35785326;0.377;17.4;24.81;0
10;17.35785326;0.377;17.4;24.6;0
10;17.35785326;0.398;19.4;28.33;0
10;17.35785326;0.39;18.6;26.96;0
10;17.35785326;0.374;17.1;27.37;0
10;17.35785326;0.379;17.6;26.47;0
10;17.35785326;0.381;17.8;25.02;0
10;17.35785326;0.374;17.1;25.08;0
10;17.35785326;0.375;17.2;23.65;0
10;17.35785326;0.384;18.1;26.7;0
