Age;BMI;TFlight;Height;Power;2Axel
11;14.38542277;355;15.4;23.39;0
11;18.26150475;399;19.5;26.09;0
8;14.6484375;397;19.3;26.46;0
11;16.86173378;378;17.5;19.19;1
14;16.10587865;499;30.5;15.38;0
10;17.35785326;395;19.1;10.26;0
11;18.26150475;402;19.8;22.2;0
15;18.36734694;384;18.1;27.7;0
10;24.03846154;444;24.2;13;0
14;16.10587865;444;24.2;28.36;0
10;13.45686041;312;11.9;15.71;0
11;18.26150475;456;25.5;15.85;0
9;17.82134106;0.4;19.6;20.54;0
10;13.45686041;358;15.7;20.15;0
12;17.33333333;471;27.2;21.8;1
10;13.45686041;0.4;19.6;25.19;0
11;15.22191956;433;23;33.89;1
10;24.03846154;446;24.4;23.14;0
10;13.45686041;322;12.7;15.81;0
10;17.35785326;359;15.8;21.71;0
15;18.36734694;359;15.8;22.72;0
10;13.45686041;371;16.9;10.73;0
9;17.82134106;433;23;14.6;0
10;17.35785326;361;16;21.42;0
11;15.22191956;396;19.2;26.28;1
11;14.38542277;357;15.6;24.46;0
10;13.45686041;321;12.6;17.67;0
11;16.86173378;368;16.6;14.4;1
10;13.45686041;588;42.4;42.12;0
15;18.36734694;442;23.9;35.61;0
14;16.10587865;461;26.1;29.14;0
8;14.6484375;398;19.4;28.33;0
8;14.6484375;391;18.7;24.34;0
10;24.03846154;437;23.4;24.25;0
10;13.45686041;315;12.2;15.77;0
8;14.6484375;404;20;25.79;0
10;13.45686041;374;17.1;19.91;0
11;18.26150475;0.43;22.7;26.16;0
11;15.22191956;403;19.9;30.57;1
9;17.82134106;416;21.2;13.77;0
10;17.35785326;372;17;21.59;0
11;14.38542277;346;14.7;21;0
15;18.36734694;444;24.2;32.12;0
11;16.86173378;355;15.4;16.55;1
9;17.82134106;448;24.6;13.99;0
8;14.6484375;341;14.3;9.29;0
10;17.35785326;398;19.4;28.33;0
11;18.26150475;396;19.2;25.3;0
9;17.82134106;382;17.9;12.26;0
11;15.22191956;432;22.9;33.75;1
12;17.33333333;452;25;25.1;1
11;15.22191956;317;12.3;8.72;1
8;14.6484375;392;18.8;28.18;0
12;17.33333333;451;24.9;24.54;1
14;16.10587865;465;26.5;27.53;0
10;17.35785326;343;14.4;22.11;0
12;17.33333333;445;24.3;24.58;1
9;17.82134106;393;18.9;13.85;0
15;18.36734694;447;24.5;29.08;0
8;14.6484375;379;17.6;25.71;0
