Age;BMI;TFlight;Height;Power;2Axel
9;17.82134106;481;28.4;24.84;0
14;16.10587865;472;27.3;28.46;0
12;17.33333333;472;27.3;29.5;1
9;17.82134106;465;26.5;22.71;0
12;17.33333333;465;26.5;12.91;1
14;16.10587865;463;26.3;13.78;0
12;17.33333333;463;26.3;25.94;1
14;16.10587865;462;26.2;27.66;0
10;24.03846154;462;26.2;15.09;0
14;16.10587865;461;26.1;29.94;0
14;16.10587865;456;25.5;25.01;0
14;16.10587865;455;25.4;29.04;0
15;18.36734694;453;25.2;34.96;0
14;16.10587865;453;25.2;27.9;0
14;16.10587865;451;24.9;27.14;0
9;17.82134106;451;24.9;26.57;0
9;17.82134106;448;24.6;25.22;0
9;17.82134106;448;24.6;20.78;0
14;16.10587865;448;24.6;26.19;0
14;16.10587865;447;24.5;29.08;0
10;24.03846154;446;24.4;13.1;0
14;16.10587865;445;24.3;30.29;0
12;17.33333333;444;24.2;19.88;1
14;16.10587865;444;24.2;27.02;0
11;18.26150475;438;23.5;12.76;0
11;15.22191956;432;22.9;33.88;1
15;18.36734694;432;22.9;33.16;0
15;18.36734694;432;22.9;31.55;0
14;16.10587865;427;22.4;24.54;0
10;24.03846154;426;22.2;21.66;0
10;24.03846154;426;22.2;23.46;0
11;18.26150475;425;22.1;26.6;0
15;18.36734694;425;22.1;30.14;0
10;17.35785326;425;22.1;22.35;0
11;18.26150475;423;21.9;28.71;0
9;17.82134106;423;21.9;21.99;0
10;17.35785326;422;21.8;30.06;0
11;14.38542277;419;21.5;31.61;0
11;16.86173378;418;21.4;19.47;1
10;24.03846154;418;21.4;19.6;0
10;17.35785326;418;21.4;28.23;0
11;15.22191956;416;21.2;31.01;1
11;18.26150475;414;21;26.57;0
11;18.26150475;412;20.8;28.8;0
11;14.38542277;411;20.7;27.09;0
11;18.26150475;409;20.5;29.17;0
11;18.26150475;408;20.4;26.99;0
10;17.35785326;408;20.4;25.82;0
11;14.38542277;405;20.1;29.45;0
11;18.26150475;405;20.1;26.52;0
11;15.22191956;404;20;31.04;1
9;17.82134106;404;20;13.29;0
9;17.82134106;404;20;12.02;0
11;18.26150475;403;19.9;25.76;0
11;18.26150475;401;19.7;26.75;0
11;15.22191956;401;19.7;28.41;1
10;17.35785326;399;19.5;10.92;0
15;18.36734694;394;19;28.81;0
11;14.38542277;392;18.8;30.18;0
9;17.82134106;392;18.8;10.53;0
8;14.6484375;389;18.5;22.21;0
8;14.6484375;389;18.5;21.77;0
10;24.03846154;389;18.5;20.31;0
10;13.45686041;388;18.5;22.73;0
10;13.45686041;383;18;10.37;0
11;16.86173378;381;17.8;12.88;1
10;13.45686041;381;17.8;23.18;0
8;14.6484375;379;17.6;25.56;0
10;13.45686041;379;17.6;20.58;0
11;18.26150475;379;17.6;24.53;0
11;18.26150475;378;17.5;24.02;0
10;13.45686041;377;17.4;22.26;0
10;17.35785326;377;17.4;24.6;0
15;18.36734694;376;17.3;28.03;0
10;17.35785326;376;17.3;22.42;0
11;16.86173378;374;17.1;17.55;1
8;14.6484375;371;16.9;24.46;0
11;15.22191956;367;16.5;24.32;1
15;18.36734694;362;16.1;9.73;0
10;13.45686041;359;15.8;19.78;0
11;16.86173378;358;15.7;10.22;1
8;14.6484375;357;15.6;22.45;0
11;14.38542277;356;15.5;12.97;0
10;24.03846154;353;15.3;11.7;0
10;13.45686041;345;14.6;18.51;0
8;14.6484375;334;13.7;19.3;0
10;13.45686041;329;13.3;17.07;0
11;14.38542277;322;12.7;19.34;0
10;13.45686041;321;12.6;16.38;0
11;15.22191956;312;11.9;8.62;1
11;14.38542277;308;11.6;12.93;0
