age,gender,weight,height,tJump,hJump,type,labels
11, M,38,158,326,130, sarituri duble greutate,p>2
11, M,38,158,372,170, sarituri ca mingea ,p>2
11, F,34,142,372,170, sarituri ca mingea cu greutate,p<=2
11, F,34,142,372,170, sarituri ca mingea cu greutate,p<=2
11, M,38,158,383,180, sarituri ca mingea ,p>2
11, F,34,142,383,180, sarituri ca mingea cu greutate,p<=2
11, F,34,142,383,180, sarituri duble,p<=2
11, M,38,158,394,190, sarituri ca mingea cu greutate,p>2
11, M,38,158,404,200, sarituri ca mingea ,p>2
11, M,38,158,404,200, sarituri ca mingea ,p>2
11, F,34,142,405,210, sarituri ca mingea,p<=2
11, M,38,158,414,210, sarituri ca mingea ,p>2
10, F,26,104,414,210, sarituri ca mingea cu greutate,p<=2
11, F,34,142,414,210, sarituri ca mingea,p<=2
11, M,38,158,424,220, sarituri ca mingea ,p>2
11, M,38,158,424,220, sarituri ca mingea cu greutate,p>2
11, M,38,158,433,230, sarituri ca mingea ,p>2
12, F,39,150,433,230, sarituri ca mingea cu greutate,p>2
10, F,26,104,433,230, sarituri ca mingea,p<=2
10, F,26,104,433,230, sarituri ca mingea,p<=2
10, F,26,104,433,230, sarituri duble,p<=2
10, F,26,104,433,230, sarituri simple cu greutate,p<=2
10, F,26,104,408,240, sarituri ca mingea,p<=2
10, F,26,104,408,240, sarituri ca mingea cu greutate,p<=2
10, F,26,104,408,240, sarituri ca mingea cu greutate,p<=2
10, F,26,104,409,250, sarituri ca mingea cu greutate,p<=2
12, F,39,150,452,250, sarituri ca mingea,p>2
12, F,39,150,452,250, sarituri simple,p>2
10, F,26,104,452,250, sarituri duble greutate,p<=2
10, F,26,104,410,260, sarituri ca mingea,p<=2
11, F,34,142,410,260, sarituri ca mingea,p<=2
11, M,38,158,410,260, sarituri ca mingea ,p>2
11, M,38,158,411,270, sarituri ca mingea ,p>2
12, F,39,150,469,270, sarituri ca mingea,p>2
12, F,39,150,469,270, sarituri ca mingea,p>2
10, F,26,104,412,280, sarituri ca mingea,p<=2
12, F,39,150,486,290, sarituri ca mingea cu greutate,p>2
10, F,26,104,486,290, sarituri duble greutate,p<=2
12, F,39,150,500,360, sarituri ca mingea cu greutate,p>2
11, M,38,158,312,119, sarituri duble greutate,p>2
11, M,38,158,312,119, sarituri duble greutate,p>2
11, M,38,158,317,123, sarituri duble,p>2
11, M,38,158,322,127, sarituri duble,p>2
11, M,38,158,324,129, sarituri duble,p>2
11, M,38,158,329,133, sarituri simple cu greutate,p>2
11, M,38,158,331,134, sarituri simple cu greutate,p>2
11, F,34,142,337,139, sarituri simple cu greutate,p<=2
11, M,38,158,343,144, sarituri simple cu greutate,p>2
11, F,34,142,345,146, sarituri ca mingea cu greutate,p<=2
11, M,38,158,347,148, sarituri simple,p>2
11, F,34,142,352,152, sarituri simple,p<=2
10, F,26,104,353,153, sarituri simple,p<=2
11, F,34,142,355,154, sarituri ca mingea cu greutate,p<=2
11, F,34,142,355,154, sarituri ca mingea cu greutate,p<=2
11, F,34,142,356,155, sarituri simple,p<=2
11, F,34,142,356,155, sarituri simple cu greutate,p<=2
10, F,26,104,357,156, sarituri ca mingea cu greutate,p<=2
11, F,34,142,357,156, sarituri ca mingea cu greutate,p<=2
11, F,34,142,358,157, sarituri simple cu greutate,p<=2
11, F,34,142,358,157, sarituri simple cu greutate,p<=2
10, F,26,104,359,158, sarituri simple,p<=2
11, M,38,158,362,161, sarituri simple,p>2
10, F,26,104,364,162, sarituri ca mingea,p<=2
10, F,26,104,365,163, sarituri simple,p<=2
11, F,34,142,366,164, sarituri ca mingea cu greutate,p<=2
11, M,38,158,367,165, sarituri ca mingea cu greutate,p>2
11, M,38,158,367,165, sarituri simple,p>2
11, F,34,142,367,165, sarituri ca mingea,p<=2
11, F,34,142,368,166, sarituri ca mingea cu greutate,p<=2
11, F,34,142,368,166, sarituri ca mingea cu greutate,p<=2
11, M,38,158,369,167, sarituri ca mingea ,p>2
11, M,38,158,369,167, sarituri ca mingea cu greutate,p>2
11, M,38,158,369,167, sarituri ca mingea cu greutate,p>2
11, F,34,142,370,168, sarituri ca mingea cu greutate,p<=2
11, F,34,142,370,168, sarituri ca mingea cu greutate,p<=2
11, F,34,142,370,168, sarituri ca mingea cu greutate,p<=2
11, M,38,158,370,168, sarituri ca mingea cu greutate,p>2
11, M,38,158,373,171, sarituri ca mingea cu greutate,p>2
11, M,38,158,373,171, sarituri ca mingea cu greutate,p>2
10, F,26,104,374,171, sarituri ca mingea,p<=2
